ADM0_NAME,M49Code,period,low,medium,high,extreme
Madagascar,450.0,2021,47.85611151626163,12.944639312744831,17.043984717244363,22.15526445374917
Malawi,454.0,2017,45.90937630725963,20.500923456181024,23.428629347082,10.161070889477346
Malawi,454.0,2018,47.67806241645647,21.55990924471848,22.32231717817441,8.439711160650628
Malawi,454.0,2019,55.5453394287691,22.038558491032823,17.640962444091535,4.775139636106559
Malawi,454.0,2020,55.12145608962679,22.282015589575792,18.18718804179306,4.409340279004326
Malawi,454.0,2021,61.577071827993095,19.798595981178263,14.656821756716823,3.967510434111808
Malaysia,458.0,2017,79.3326517535081,8.463834085895675,5.861803413695879,6.341710746900354
Malaysia,458.0,2018,82.67687427436412,6.942804914031579,5.300570108154366,5.079750703449928
Malaysia,458.0,2019,72.42143656935961,9.93623457700488,8.838414851912011,8.8039140017235
Malaysia,458.0,2020,54.23481193713205,16.471018338500123,16.656148879718355,12.638020844649482
Malaysia,458.0,2021,60.09226863791932,16.760506178989022,13.623052624679213,9.524172558412454
Mali,466.0,2017,54.82734071772913,13.90947159107611,16.067242956131878,15.19594473506288
Mali,466.0,2018,52.39591074093392,15.419685132906444,16.63579776055535,15.54860636560429
Mali,466.0,2019,54.17409344942161,18.040697535061422,15.562634088141154,12.222574927375817
Mali,466.0,2020,46.83203583968712,18.486503238028,19.058561671209283,15.622899251075593
Mali,466.0,2021,46.0202827175874,15.929371513006757,17.502379330696115,20.54796643870972
Mauritania,478.0,2017,86.26213878874637,10.14875352493668,2.763007754461728,0.8260999318552138
Mauritania,478.0,2018,68.4731489320317,12.269223349420216,15.391529912199722,3.866097806348339
Mauritania,478.0,2019,98.09095097324068,0.7386996234080351,0.4004997958236335,0.7698496075276511
Mauritania,478.0,2020,90.86878902958314,5.028989403744348,2.8756486519118187,1.2265729147606972
Mauritania,478.0,2021,68.87558851730087,13.318807695255035,14.4911073688565,3.3144964185875816
Mexico,484.0,2017,64.02324098247483,14.645772300747296,10.048572809233214,11.282413907544656
Mexico,484.0,2018,63.71743677716253,15.29747292610207,10.403048533263636,10.58204176347176
Mexico,484.0,2019,65.02916102600524,12.49545725831253,10.260995983722337,12.214385731959892
Mexico,484.0,2020,63.47636310201899,12.44800734576085,10.797486245069258,13.278143307150891
Mexico,484.0,2021,58.02534889568808,15.192792624869416,12.326464914731956,14.455393564710556
Moldova,498.0,2017,56.182527828988825,7.328708781592025,8.84267578352897,27.64608760589017
Moldova,498.0,2018,63.15011604208719,6.869764697851758,8.356797725965148,21.6233215340959
Moldova,498.0,2019,54.42909234020718,11.85237047409482,12.349317689624884,21.36921949607313
Moldova,498.0,2020,46.94547752544607,10.540169147405646,19.271402256195124,23.24295107095316
Moldova,498.0,2021,51.86536461669058,10.874237690699449,13.926785741423815,23.333611951186157
Mongolia,496.0,2017,71.70010794687963,11.40647499008842,9.312877156428597,7.580539906603331
Mongolia,496.0,2018,72.14471507915215,12.912909696361952,5.992583298160399,8.94979192632551
Mongolia,496.0,2019,66.98122228304223,17.45905138913818,9.618415795898972,5.941310531920626
Mongolia,496.0,2020,76.95655744964112,12.406780565668951,5.359406613338229,5.2772553713517
Mongolia,496.0,2021,78.58532307167613,10.618947403158913,5.386580663868692,5.409148861296257
Montenegro,499.0,2017,43.246485048527525,16.644937884883657,16.61684149201722,23.491735574571607
Montenegro,499.0,2018,61.13460697316086,15.921470499287944,9.928357198555029,13.015565328996193
Montenegro,499.0,2019,53.52740963725133,18.241022716780886,11.486247935851694,16.7453197101161
Montenegro,499.0,2020,49.42606829014832,16.906219582993728,13.126543686736412,20.541168440121528
Montenegro,499.0,2021,49.42891666536727,25.950528945907354,14.792077069960476,9.82847731876491
Morocco,504.0,2017,69.07584232173839,11.133970383433503,6.221988601479265,13.568198693348837
Morocco,504.0,2018,61.74721736095197,13.205745558299226,11.25245756146478,13.794579519284031
Morocco,504.0,2019,63.02674886925807,8.781621228397702,10.77945361089962,17.412176291444602
Morocco,504.0,2020,49.39292718364034,11.8926761492763,11.893393390316428,26.821003276766927
Morocco,504.0,2021,45.97533538358418,9.793890646716145,11.375740094561248,32.85503387513841
Mozambique,508.0,2017,47.51903140120385,20.850941405254748,22.086653004970007,9.543374188571391
Mozambique,508.0,2018,51.3588490660444,19.357583688897677,22.07826594930407,7.20530129575388
Mozambique,508.0,2019,61.506523534579095,17.692282596486084,16.218268604832602,4.582925264102212
Mozambique,508.0,2020,44.20488164248562,21.207287506051763,20.95547805855692,13.632352792905683
Mozambique,508.0,2021,51.30703064270436,18.967453612111367,17.63669895173618,12.088816793448082
Myanmar,104.0,2017,66.71306983134664,14.08694045502579,11.852481442036687,7.347508271590883
Myanmar,104.0,2018,61.96305222481688,18.24817874481329,13.420886979737077,6.367882050632778
Myanmar,104.0,2019,60.45746097475063,16.92701827335286,12.162166341635238,10.453354410261255
